id,Latitude,Longitude
1432,26.017283,88.346150
1433,25.989223,88.854230
1434,25.959507,89.362080
1435,25.928136,89.869686
1436,25.895112,90.377036
1437,25.860435,90.884116
1438,25.824107,91.390914
1439,25.786129,91.897417
1440,25.746503,92.403612
1441,25.705230,92.909486
1442,25.662311,93.415026
1443,25.617748,93.920220
1444,25.571542,94.425056
1445,25.523696,94.929520
1446,25.474210,95.433600
1454,25.461739,70.049349
1455,25.493387,70.555084
1456,25.523385,71.061063
1457,25.551733,71.567273
1458,25.578431,72.073702
1459,25.603476,72.580335
1460,25.626868,73.087160
1461,25.648607,73.594165
1462,25.668691,74.101335
1463,25.687120,74.608659
1464,25.703893,75.116122
1465,25.719010,75.623713
1466,25.732469,76.131417
1467,25.744271,76.639221
1468,25.754416,77.147113
1469,25.762901,77.655079
1470,25.769729,78.163106
1471,25.774897,78.671181
1472,25.778407,79.179290
1473,25.780257,79.687421
1474,25.780448,80.195559
1475,25.778980,80.703693
1476,25.775852,81.211808
1477,25.771066,81.719892
1478,25.764621,82.227931
1479,25.756517,82.735912
1480,25.746755,83.243823
1481,25.735334,83.751648
1482,25.722256,84.259377
1483,25.707521,84.766994
1484,25.691130,85.274488
1485,25.673082,85.781845
1486,25.653379,86.289052
1487,25.632021,86.796096
1488,25.609010,87.302964
1489,25.584345,87.809642
1490,25.558028,88.316119
1491,25.530060,88.822381
1492,25.500441,89.328414
1493,25.469174,89.834207
1494,25.436258,90.339746
1495,25.401695,90.845018
1496,25.365487,91.350011
1497,25.327635,91.854712
1498,25.288139,92.359108
1499,25.247002,92.863186
1500,25.204225,93.366935
1501,25.159810,93.870341
1502,25.113758,94.373392
1503,25.066070,94.876076
1513,25.034212,70.588924
1514,25.064110,71.093100
1515,25.092364,71.597505
1516,25.118972,72.102125
1517,25.143934,72.606949
1518,25.167249,73.111962
1519,25.188915,73.617153
1520,25.208933,74.122508
1521,25.227300,74.628014
1522,25.244018,75.133659
1523,25.259084,75.639429
1524,25.272499,76.145312
1525,25.284262,76.651294
1526,25.294372,77.157362
1527,25.302830,77.663504
1528,25.309635,78.169706
1529,25.314786,78.675956
1530,25.318284,79.182239
1531,25.320128,79.688544
1532,25.320318,80.194857
1533,25.318855,80.701164
1534,25.315738,81.207454
1535,25.310967,81.713712
1536,25.304544,82.219926
1537,25.296467,82.726083
1538,25.286737,83.232170
1539,25.275354,83.738173
1540,25.262320,84.244080
1541,25.247634,84.749877
1542,25.231296,85.255551
1543,25.213309,85.761091
1544,25.193671,86.266482
1545,25.172384,86.771711
1546,25.149449,87.276767
1547,25.124867,87.781635
1548,25.098637,88.286304
1549,25.070763,88.790759
1550,25.041243,89.294989
1551,25.010080,89.798981
1552,24.977274,90.302722
1553,24.942827,90.806199
1554,24.906740,91.309399
1555,24.869015,91.812311
1556,24.829652,92.314921
1557,24.788653,92.817217
1558,24.746020,93.319186
1559,24.701754,93.820817
1560,24.655857,94.322096
1561,24.608330,94.823012
1567,24.439382,68.615490
1568,24.475723,69.116846
1569,24.510429,69.618479
1570,24.543500,70.120375
1571,24.574935,70.622522
1572,24.604732,71.124909
1573,24.632890,71.627521
1574,24.659408,72.130346
1575,24.684285,72.633373
1576,24.707521,73.136587
1577,24.729114,73.639977
1578,24.749064,74.143529
1579,24.767370,74.647231
1580,24.784031,75.151070
1581,24.799046,75.655033
1582,24.812416,76.159107
1583,24.824139,76.663280
1584,24.834216,77.167538
1585,24.842645,77.671869
1586,24.849427,78.176259
1587,24.854561,78.680696
1588,24.858047,79.185167
1589,24.859885,79.689659
1590,24.860074,80.194159
1591,24.858616,80.698654
1592,24.855510,81.203131
1593,24.850755,81.707577
1594,24.844353,82.211979
1595,24.836303,82.716324
1596,24.826606,83.220600
1597,24.815262,83.724794
1598,24.802271,84.228892
1599,24.787635,84.732882
1600,24.771353,85.236750
1601,24.753426,85.740485
1602,24.733854,86.244073
1603,24.712639,86.747501
1604,24.689782,87.250757
1605,24.665282,87.753828
1606,24.639142,88.256701
1607,24.611361,88.759363
1612,24.447896,91.269076
